Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29300358,11/16/2014 11:46:00 PM,11/16/2014 11:46:00 PM,DSNY,BCC - Queens East,Derelict Vehicles,14 Derelict Vehicles,Street,11432,80-25 PARSONS BOULEVARD,PARSONS BOULEVARD,UNION TURNPIKE,GOETHALS AVENUE,,,ADDRESS,Jamaica,,DSNY Garage,Pending,,11/16/2014 11:46:00 PM,08 QUEENS,QUEENS,1037228,201435,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.719410639341916,-73.80888158860446,"(40.719410639341916, -73.80888158860446)"
29299837,11/16/2014 02:24:35 AM,11/16/2014 02:24:35 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10465,938 HUNTINGTON AVENUE,HUNTINGTON AVENUE,LAFAYETTE AVENUE,BARKLEY AVENUE,,,ADDRESS,BRONX,,N/A,Open,,11/16/2014 12:00:00 AM,10 BRONX,BRONX,1031120,240935,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.827862046105416,-73.83064067165407,"(40.827862046105416, -73.83064067165407)"
29297857,11/16/2014 02:17:12 AM,11/16/2014 02:50:48 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11201,229 DUFFIELD STREET,DUFFIELD STREET,WILLOUGHBY STREET,FULTON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/16/2014 10:17:12 AM,11/16/2014 02:50:46 AM,02 BROOKLYN,BROOKLYN,988583,191117,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69124772858873,-73.98437529459297,"(40.69124772858873, -73.98437529459297)"
29294647,11/16/2014 02:15:13 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,128 NAGLE AVENUE,NAGLE AVENUE,,,,,LATLONG,NEW YORK,,Precinct,Assigned,11/16/2014 10:15:13 AM,11/16/2014 02:54:11 AM,01 MANHATTAN,MANHATTAN,1004634,253062,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.861247930170535,-73.92630783362215,"(40.861247930170535, -73.92630783362215)"
29300211,11/16/2014 02:14:01 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10306,625 LINCOLN AVENUE,LINCOLN AVENUE,BADEN PLACE,PATTERSON AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Open,11/16/2014 10:14:01 AM,,02 STATEN ISLAND,STATEN ISLAND,958627,147162,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57056460126485,-74.09222907551542,"(40.57056460126485, -74.09222907551542)"
29300636,11/16/2014 02:11:41 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11205,714 MYRTLE AVENUE,MYRTLE AVENUE,SPENCER STREET,WALWORTH STREET,,,ADDRESS,BROOKLYN,,Precinct,Assigned,11/16/2014 10:11:41 AM,11/16/2014 02:19:04 AM,03 BROOKLYN,BROOKLYN,996798,192389,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69473123945269,-73.95474981427601,"(40.69473123945269, -73.95474981427601)"
29296134,11/16/2014 02:08:55 AM,11/16/2014 02:46:11 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11102,ASTORIA BOULEVARD,ASTORIA BOULEVARD,31 STREET,32 STREET,,,BLOCKFACE,ASTORIA,,Precinct,Closed,11/16/2014 10:08:55 AM,11/16/2014 02:45:13 AM,01 QUEENS,QUEENS,1006979,219779,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76988973596573,-73.91794291697589,"(40.76988973596573, -73.91794291697589)"
29298255,11/16/2014 02:07:33 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,990 ATLANTIC AVENUE,ATLANTIC AVENUE,GRAND AVENUE,CLASSON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,11/16/2014 10:07:33 AM,11/16/2014 02:16:25 AM,08 BROOKLYN,BROOKLYN,995129,187144,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.680337127902185,-73.96077697561918,"(40.680337127902185, -73.96077697561918)"
29300954,11/16/2014 02:06:37 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10034,229 DYCKMAN STREET,DYCKMAN STREET,BROADWAY,SEAMAN AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,11/16/2014 10:06:37 AM,11/16/2014 02:53:50 AM,12 MANHATTAN,MANHATTAN,1004260,254747,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86587359965432,-73.92765488555312,"(40.86587359965432, -73.92765488555312)"
29295733,11/16/2014 02:05:28 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10022,1074 FIRST AVENUE,FIRST AVENUE,EAST 58 STREET,EAST 59 STREET,,,ADDRESS,NEW YORK,,Precinct,Assigned,11/16/2014 10:05:28 AM,11/16/2014 02:37:01 AM,06 MANHATTAN,MANHATTAN,994719,215902,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75927139356286,-73.96221045553305,"(40.75927139356286, -73.96221045553305)"
