Year,Name,Ideal.point
1946,Australia,1.527
1947,Australia,1.738
1948,Australia,1.507
1949,Australia,1.504
1950,Australia,1.466
1951,Australia,1.771
1952,Australia,2.082
1953,Australia,2.203
1954,Australia,2.414
1955,Australia,2.249
1956,Australia,2.222
1957,Australia,2.215
1958,Australia,2.324
1959,Australia,1.638
1960,Australia,1.888
1961,Australia,1.798
1962,Australia,1.858
1963,Australia,1.686
1965,Australia,1.917
1966,Australia,2.009
1967,Australia,2.13
1968,Australia,2.052
1969,Australia,1.968
1970,Australia,1.972
1971,Australia,1.483
1972,Australia,1.091
1973,Australia,0.894
1974,Australia,0.982
1975,Australia,1.092
1976,Australia,1.212
1977,Australia,1.371
1978,Australia,1.516
1979,Australia,1.472
1980,Australia,1.395
1981,Australia,1.449
1982,Australia,1.36
1983,Australia,1.299
1984,Australia,1.196
1985,Australia,1.162
1986,Australia,1.204
1987,Australia,1.163
1988,Australia,1.081
1989,Australia,0.963
1990,Australia,0.829
1991,Australia,0.956
1992,Australia,0.942
1993,Australia,0.697
1994,Australia,0.772
1995,Australia,1.091
1996,Australia,0.824
1997,Australia,0.889
1998,Australia,0.953
1999,Australia,0.912
2000,Australia,0.892
2001,Australia,1.016
2002,Australia,1.123
2003,Australia,1.201
2004,Australia,1.346
2005,Australia,1.425
2006,Australia,1.569
2007,Australia,1.424
2008,Australia,1.433
2009,Australia,1.268
2010,Australia,1.278
2011,Australia,1.266
2012,Australia,1.36
1946,Canada,1.849
1947,Canada,1.987
1948,Canada,1.911
1949,Canada,1.672
1950,Canada,1.812
1951,Canada,1.916
1952,Canada,1.989
1953,Canada,1.745
1954,Canada,1.746
1955,Canada,1.714
1956,Canada,1.554
1957,Canada,1.608
1958,Canada,1.579
1959,Canada,1.096
1960,Canada,1.106
1961,Canada,1.467
1962,Canada,1.555
1963,Canada,1.61
1965,Canada,1.685
1966,Canada,1.774
1967,Canada,1.769
1968,Canada,1.577
1969,Canada,1.615
1970,Canada,1.577
1971,Canada,1.391
1972,Canada,1.549
1973,Canada,1.479
1974,Canada,1.471
1975,Canada,1.457
1976,Canada,1.501
1977,Canada,1.687
1978,Canada,1.768
1979,Canada,1.81
1980,Canada,1.824
1981,Canada,1.773
1982,Canada,1.656
1983,Canada,1.658
1984,Canada,1.703
1985,Canada,1.645
1986,Canada,1.555
1987,Canada,1.546
1988,Canada,1.403
1989,Canada,1.356
1990,Canada,1.286
1991,Canada,1.271
1992,Canada,1.234
1993,Canada,1.138
1994,Canada,1.145
1995,Canada,1.106
1996,Canada,1.196
1997,Canada,1.116
1998,Canada,1.178
1999,Canada,1.173
2000,Canada,1.112
2001,Canada,1.184
2002,Canada,1.129
2003,Canada,1.127
2004,Canada,1.236
2005,Canada,1.264
2006,Canada,1.412
2007,Canada,1.56
2008,Canada,1.611
2009,Canada,1.582
2010,Canada,1.529
2011,Canada,1.856
2012,Canada,2.059
1971,China,-0.889
1972,China,-0.782
1973,China,-0.721
1974,China,-0.782
1975,China,-0.503
1976,China,-0.814
1977,China,-0.797
1978,China,-0.51
1979,China,-0.229
1980,China,-0.139
1981,China,-0.108
1982,China,0.092
1983,China,0.094
1984,China,0.089
1985,China,0.062
1986,China,0.069
1987,China,0.079
1988,China,-0.125
1989,China,-0.187
1990,China,-0.251
1991,China,-0.36
1992,China,-0.665
1993,China,-1.104
1994,China,-1.363
1995,China,-1.443
1996,China,-1.337
1997,China,-1.302
1998,China,-0.76
1999,China,-0.717
2000,China,-0.738
2001,China,-0.674
2002,China,-0.727
2003,China,-0.876
2004,China,-0.831
2005,China,-0.783
2006,China,-0.785
2007,China,-0.609
2008,China,-0.557
2009,China,-0.592
2010,China,-0.77
2011,China,-0.72
2012,China,-0.852
1946,United Kingdom,2.158
1947,United Kingdom,2.119
1948,United Kingdom,2.074
1949,United Kingdom,2.039
1950,United Kingdom,1.574
1951,United Kingdom,1.832
1952,United Kingdom,2.106
1953,United Kingdom,2.193
1954,United Kingdom,2.391
1955,United Kingdom,2.209
1956,United Kingdom,2.247
1957,United Kingdom,2.225
1958,United Kingdom,2.389
1959,United Kingdom,2.067
1960,United Kingdom,1.899
1961,United Kingdom,1.844
1962,United Kingdom,2.002
1963,United Kingdom,2.072
1965,United Kingdom,2.006
1966,United Kingdom,2.108
1967,United Kingdom,2.192
1968,United Kingdom,2.108
1969,United Kingdom,2.024
1970,United Kingdom,1.85
1971,United Kingdom,1.599
1972,United Kingdom,1.965
1973,United Kingdom,2.118
1974,United Kingdom,1.777
1975,United Kingdom,1.859
1976,United Kingdom,2.071
1977,United Kingdom,1.957
1978,United Kingdom,2.018
1979,United Kingdom,2.028
1980,United Kingdom,1.976
1981,United Kingdom,1.925
1982,United Kingdom,1.955
1983,United Kingdom,1.971
1984,United Kingdom,2.047
1985,United Kingdom,2.04
1986,United Kingdom,2.103
1987,United Kingdom,2.03
1988,United Kingdom,2.052
1989,United Kingdom,2.105
1990,United Kingdom,2.108
1991,United Kingdom,1.992
1992,United Kingdom,1.863
1993,United Kingdom,1.904
1994,United Kingdom,1.986
1995,United Kingdom,2.228
1996,United Kingdom,2.034
1997,United Kingdom,1.977
1998,United Kingdom,1.759
1999,United Kingdom,1.687
2000,United Kingdom,1.689
2001,United Kingdom,1.626
2002,United Kingdom,1.674
2003,United Kingdom,1.67
2004,United Kingdom,1.635
2005,United Kingdom,1.671
2006,United Kingdom,1.533
2007,United Kingdom,1.625
2008,United Kingdom,1.588
2009,United Kingdom,1.479
2010,United Kingdom,1.611
2011,United Kingdom,1.497
2012,United Kingdom,1.53
1946,United States of America,1.714
1947,United States of America,1.813
1948,United States of America,1.936
1949,United States of America,1.877
1950,United States of America,1.811
1951,United States of America,1.828
1952,United States of America,1.905
1953,United States of America,1.693
1954,United States of America,1.482
1955,United States of America,1.719
1956,United States of America,1.285
1957,United States of America,1.247
1958,United States of America,1.266
1959,United States of America,1.547
1960,United States of America,1.532
1961,United States of America,1.698
1962,United States of America,1.889
1963,United States of America,1.852
1965,United States of America,2.011
1966,United States of America,2.069
1967,United States of America,2.259
1968,United States of America,2.213
1969,United States of America,2.093
1970,United States of America,2.132
1971,United States of America,1.805
1972,United States of America,2.04
